#OTU ID	YK-9	YK-8	YK-7
Zotu5849	254	1	0
Zotu5483	1	105	92
Zotu6889	1	60	67
Zotu6506	0	86	88
Zotu7676	0	107	66
Zotu7688	0	62	57
Zotu8173	2	70	59
Zotu8214	234	0	0
Zotu7341	94	33	16
Zotu6	48134	1114	60282
Zotu451	109	142	259
Zotu4713	0	1	0
Zotu199	1032	0	0
Zotu4276	1	0	0
Zotu6069	1	0	0
Zotu6676	1	0	0
Zotu2939	6	0	0
Zotu7930	1	0	0
Zotu1207	2	1	0
Zotu8216	3	0	0
Zotu7647	5	0	0
Zotu3726	1	0	0
Zotu4441	1	0	0
Zotu1321	1	0	0
Zotu598	1	0	0
Zotu1619	0	1	0
Zotu5586	3	0	2
Zotu5511	2	0	0
Zotu354	5	0	0
Zotu5364	3	0	0
Zotu7929	36	0	53
Zotu766	1	0	0
Zotu897	25	340	1
Zotu4782	4	0	0
Zotu2598	5	0	0
Zotu6139	2	0	0
Zotu656	2	0	0
Zotu3386	1	0	0
Zotu90	5206	53	10
Zotu540	3	0	0
Zotu7301	4	0	0
Zotu140	2	3	838
Zotu7731	32	0	0
Zotu47	337	99	10123
Zotu383	253	218	1
Zotu48	142	12295	194
Zotu2265	97	0	0
Zotu20	12835	8563	10246
Zotu67	127	9852	17
Zotu8154	10	3	187
Zotu1026	261	1097	69
Zotu4	5955	2828	46965
Zotu10	35287	937	21025
Zotu61	1004	3161	4965
Zotu39	390	16752	60
Zotu11	6965	63802	528
Zotu42	161	124	28
Zotu8105	15	9	2
Zotu4640	22	174	84
Zotu174	59	141	20
Zotu78	121	101	36
Zotu31	388	268	42
Zotu1974	2	0	0
Zotu22	5637	2071	21280
Zotu7	2166	1255	1665
Zotu9	38830	730	22090
Zotu1	23328	15434	3044
Zotu28	716	264	20197
Zotu2	12836	22996	3119
Zotu24	8235	7719	13784
Zotu166	1794	94	387
Zotu21	434	620	60
Zotu1968	1	0	0
Zotu496	55	35	5
Zotu1022	18	8	4
Zotu116	204	558	31
Zotu600	145	156	0
Zotu5279	1	0	0
Zotu30	3396	20409	403
Zotu59	130	100	64
Zotu3904	90	497	46
Zotu5546	238	693	250
Zotu32	11368	199	6733
Zotu12	6198	19704	16904
Zotu2277	3	2	0
Zotu91	202	6007	75
Zotu214	1330	25	156
Zotu68	130	98	19
Zotu60	2706	438	22
Zotu3038	13	124	308
Zotu85	173	164	27
Zotu5	110030	911	230
Zotu244	31	19	3
Zotu95	4475	89	9
Zotu127	149	45	3114
Zotu248	19	6	3
Zotu43	442	147	11506
Zotu171	224	218	1022
Zotu300	16	1053	3
Zotu4464	1	0	0
Zotu156	30	31	13
Zotu63	4673	53	17
Zotu2325	15	104	0
Zotu5688	40	7	640
Zotu14	674	51866	110
Zotu1077	2	0	0
Zotu46	719	92	9484
Zotu8	2482	801	61528
Zotu148	89	36	2403
Zotu33	1349	3247	13184
Zotu4536	0	78	1
Zotu81	174	150	35
Zotu80	3019	53	3086
Zotu18	665	39642	82
Zotu4450	1	79	0
Zotu5359	2	51	0
Zotu8119	1	0	0
Zotu133	2840	22	10
Zotu16	695	47557	100
Zotu108	366	346	494
Zotu4592	0	2	0
Zotu51	7193	3018	86
Zotu2203	2	0	0
Zotu155	2407	35	10
Zotu87	182	46	5245
Zotu699	1	0	0
Zotu370	4	0	0
Zotu111	55	4411	118
Zotu134	2845	20	19
Zotu25	7449	278	13320
Zotu146	90	24	2316
Zotu2163	2	0	0
Zotu7557	1	0	0
Zotu770	1	0	0
Zotu5081	55	1188	2
Zotu4192	0	0	1
Zotu122	474	31	2955
Zotu29	0	98	150
Zotu126	2121	33	1110
Zotu26	813	268	22248
Zotu2662	1	0	0
Zotu2205	2	122	0
Zotu516	597	14	6
Zotu190	24	2010	2
Zotu121	3587	30	8
Zotu539	2	0	0
Zotu676	421	3	1
Zotu1789	1	0	0
Zotu1769	37	122	0
Zotu8062	14	1	10
Zotu2637	15	82	6
Zotu1695	1	0	0
Zotu764	96	5	239
Zotu69	195	75	6808
Zotu7462	2	0	0
Zotu106	4730	29	9
Zotu188	867	46	911
Zotu666	1	0	0
Zotu388	1	0	0
Zotu856	304	1	2
Zotu299	36	8	855
Zotu2387	79	3	0
Zotu1782	121	2	0
Zotu2437	20	388	2
Zotu1887	145	1	3
Zotu6880	25	1	0
Zotu2342	76	0	0
Zotu645	470	4	0
Zotu1446	134	1	99
Zotu456	16	15	2
Zotu2940	89	0	0
Zotu101	259	48	4086
Zotu3663	58	1	4
Zotu3945	4	1	0
Zotu222	31	332	1039
Zotu5032	15	0	0
Zotu66	272	95	7796
Zotu4489	276	233	133
Zotu1861	0	1	0
Zotu13	0	153	204
Zotu125	145	43	3423
Zotu577	0	0	1
Zotu2543	1	0	0
Zotu788	2	0	0
Zotu464	0	0	2
Zotu1018	245	4	21
Zotu4855	1	0	0
Zotu1043	9	3	281
Zotu2580	1	0	0
Zotu221	1474	19	3
Zotu361	63	466	367
Zotu203	386	55	1047
Zotu445	750	6	5
Zotu1435	157	2	52
Zotu538	2	0	0
Zotu129	108	40	10
Zotu4212	1	0	0
Zotu1182	1	0	0
Zotu6350	454	6	188
Zotu34	15117	244	48
Zotu908	9	6	353
Zotu810	38	401	3
Zotu1102	1	0	0
Zotu396	761	5	1
Zotu309	1024	6	2
Zotu1945	1	128	2
Zotu560	1	0	0
Zotu98	4325	51	6
Zotu787	1	0	0
Zotu8176	121	91	131
Zotu6599	1	0	0
Zotu153	73	45	2306
Zotu3026	1	0	0
Zotu3337	1	0	0
Zotu7635	4	0	0
Zotu3504	4	205	1
Zotu3684	3	356	2
Zotu76	6142	48	294
Zotu385	806	61	0
Zotu5212	4	6	0
Zotu38	12877	106	29
Zotu999	2	0	0
Zotu2506	1	0	0
Zotu1465	355	3	3
Zotu3825	2	0	50
Zotu119	245	2090	1421
Zotu1071	1	0	0
Zotu2781	686	9	449
Zotu7689	10	7	3
Zotu144	2943	24	4
Zotu2213	1	0	0
Zotu17	1145	18530	7827
Zotu3172	0	3	0
Zotu709	1	0	0
Zotu7084	14	192	0
Zotu217	39	14	1302
Zotu1143	1	0	0
Zotu5943	1	9	1
Zotu6573	136	119	35
Zotu6734	2	0	0
Zotu6936	0	0	24
Zotu4196	86	884	24
Zotu484	2	0	0
Zotu197	34	1676	4
Zotu972	2	3	0
Zotu590	460	8	23
Zotu550	25	635	283
Zotu220	1	0	0
Zotu45	6738	144	4457
Zotu185	2	0	0
Zotu504	3	0	0
Zotu238	420	9	803
Zotu1187	6	283	1
Zotu184	1008	19	986
Zotu6620	6	0	2
Zotu571	569	7	1
Zotu75	1965	83	4203
Zotu7464	1	0	0
Zotu94	5112	42	243
Zotu2253	1	0	0
Zotu1836	1	1	1
Zotu4146	2	0	0
Zotu183	1525	18	349
Zotu6737	4	6	0
Zotu1730	2	0	0
Zotu2386	1	0	0
Zotu7312	1	0	0
Zotu83	5621	50	14
Zotu611	12	9	1
Zotu36	279	17176	38
Zotu267	248	15	871
Zotu5738	1	0	0
Zotu718	1	4	0
Zotu5240	67	1071	9
Zotu703	0	0	1
Zotu485	1	0	0
Zotu245	38	19	81
Zotu360	12	6	741
Zotu65	2626	1805	72
Zotu4541	1	0	0
Zotu1822	2	0	0
Zotu1755	3	0	0
Zotu104	126	966	3474
Zotu5805	1	0	0
Zotu1558	1	0	0
Zotu1412	8	1	169
Zotu215	3	0	0
Zotu7699	1	0	0
Zotu193	53	841	896
Zotu1743	1	0	0
Zotu4232	1	0	0
Zotu37	666	241	13522
Zotu946	0	1	0
Zotu219	23	24	3
Zotu4182	116	327	114
Zotu6761	282	4	40
Zotu100	94	6018	11
Zotu290	3	0	0
Zotu8118	403	3	1
Zotu1841	1	0	0
Zotu96	86	1478	21
Zotu368	1	0	0
Zotu64	261	113	7420
Zotu3039	0	89	0
Zotu3114	1	0	0
Zotu1248	1	0	0
Zotu251	24	1309	2
Zotu1343	1	0	0
Zotu1524	3	0	0
Zotu514	14	5	486
Zotu3686	0	0	1
Zotu3747	24	243	1
Zotu5088	1	0	0
Zotu74	205	5400	2347
Zotu4666	1	0	0
Zotu4992	0	2	0
Zotu690	2	0	0
Zotu247	45	9	1188
Zotu1701	116	121	1212
Zotu6804	1	0	0
Zotu1615	1	0	0
Zotu7823	1	0	0
Zotu1035	1	0	0
Zotu5584	1	0	13
Zotu3802	1	51	0
Zotu1273	5	8	180
Zotu1579	9	3	134
Zotu2303	34	466	4
Zotu2973	75	1	0
Zotu5263	1	0	39
Zotu293	2	0	0
Zotu315	8	0	0
Zotu958	1	0	0
Zotu454	4	0	0
Zotu4239	29	0	20
Zotu337	4	0	0
Zotu178	18	3	36
Zotu2458	71	3	24
Zotu2643	3	0	0
Zotu2354	1	0	0
Zotu1174	241	4	0
Zotu1017	1	0	0
