#OTU ID	YK-6	YK-4	YK-5
Zotu6889	2	0	0
Zotu7676	1	0	0
Zotu6506	1	0	0
Zotu1691	1	102	0
Zotu451	263	8	1
Zotu1	307642	302548	418240
Zotu7693	0	18	0
Zotu4713	0	64	0
Zotu4065	0	43	0
Zotu199	0	3	1
Zotu8053	0	24	0
Zotu23	9904	5471	18679
Zotu140	579	514	0
Zotu600	0	0	158
Zotu2	112595	46678	209929
Zotu2265	0	0	1
Zotu7929	0	1	0
Zotu82	2996	1559	6621
Zotu21	12233	6354	20693
Zotu389	273	406	231
Zotu383	0	0	149
Zotu2325	1	1	0
Zotu12	6241	4694	3229
Zotu29	95	106	146
Zotu4592	0	0	33
Zotu108	353	2	575
Zotu46	37	82	53
Zotu133	11	18	26
Zotu155	11	28	17
Zotu456	95	104	656
Zotu4	9774	63679	11090
Zotu31	12343	291	7223
Zotu48	35	70	47
Zotu822	0	1	0
Zotu6	447	930	721
Zotu87	14	56	28
Zotu134	7	25	16
Zotu47	42	85	79
Zotu764	3	25	36
Zotu80	20	54	44
Zotu299	2	8	8
Zotu126	25	27	16
Zotu146	6	31	18
Zotu645	1	3	2
Zotu7689	174	353	375
Zotu676	1	3	4
Zotu5032	0	2	1
Zotu25	1224	912	1244
Zotu122	13	34	17
Zotu3945	11	5	38
Zotu20	854	2558	2329
Zotu1446	2	3	5
Zotu8217	0	23	23
Zotu516	0	5	4
Zotu3663	0	0	2
Zotu2342	0	1	0
Zotu1782	1	1	1
Zotu4489	38	90	167
Zotu1887	0	2	1
Zotu174	2353	54	1938
Zotu856	0	3	2
Zotu735	0	1	0
Zotu1182	0	2	0
Zotu88	140	6088	53
Zotu3669	2038	26	1743
Zotu38	54	81	72
Zotu8176	19	40	79
Zotu2637	0	2	0
Zotu94	20	40	43
Zotu1154	0	1	0
Zotu78	4240	81	2432
Zotu1836	81	14	12
Zotu67	32	46	41
Zotu222	7	11	10
Zotu13	114	124	200
Zotu972	112	90	120
