#OTU ID	YK-1	YK-2	YK-3
Zotu5849	169	168	1
Zotu8214	153	137	0
Zotu7341	50	59	0
Zotu7676	1	1	0
Zotu6506	1	0	0
Zotu6889	1	0	0
Zotu5483	2	1	0
Zotu1162	0	608	3
Zotu454	339	334	225
Zotu1398	194	46	39
Zotu4142	25	62	29
Zotu13	8599	10839	6353
Zotu451	81	1	0
Zotu199	708	1	0
Zotu1065	43	106	143
Zotu314	236	341	506
Zotu6385	6	18	24
Zotu1626	16	96	67
Zotu7322	6	30	18
Zotu4563	10	29	10
Zotu1207	203	120	83
Zotu31	55	120	117
Zotu392	495	424	329
Zotu2939	38	35	25
Zotu7653	20	23	21
Zotu2863	20	37	36
Zotu5586	40	58	55
Zotu6676	8	34	5
Zotu178	1633	722	513
Zotu174	22	16	11
Zotu2154	64	68	76
Zotu7260	28	39	56
Zotu7647	8	15	28
Zotu2285	40	81	43
Zotu1619	157	61	53
Zotu568	105	336	342
Zotu7937	14	17	26
Zotu2461	13	37	64
Zotu7929	22	10	4
Zotu6499	12	13	29
Zotu82	23	19	22
Zotu1	494	834	545
Zotu1968	27	82	67
Zotu3311	48	43	42
Zotu897	2	0	5
Zotu8250	1	11	16
Zotu127	2	6	9
Zotu35	28	31	11
Zotu1325	0	5	2
Zotu5893	5	8	5
Zotu3386	17	35	19
Zotu4782	8	31	18
Zotu1738	29	55	70
Zotu6638	22	34	40
Zotu8265	2	3	20
Zotu2478	39	44	24
Zotu899	178	175	84
Zotu540	101	307	294
Zotu7236	2	14	24
Zotu140	0	4	1
Zotu4806	3	28	37
Zotu787	77	189	193
Zotu7466	4	30	12
Zotu2327	47	68	55
Zotu20	697	997	910
Zotu185	396	794	851
Zotu2265	0	0	2
Zotu138	1	0	0
Zotu400	205	332	309
Zotu3906	65	49	17
Zotu3773	16	30	29
Zotu965	59	127	125
Zotu143	840	1543	1303
Zotu204	444	843	862
Zotu115	1286	1814	1690
Zotu123	1053	1799	1571
Zotu431	374	340	325
Zotu3714	16	16	22
Zotu4126	46	26	17
Zotu207	655	626	506
Zotu1336	116	130	104
Zotu3371	9	42	49
Zotu570	392	151	106
Zotu7287	46	21	65
Zotu172	496	863	948
Zotu3244	12	44	29
Zotu743	83	174	195
Zotu181	1017	536	793
Zotu4527	4	34	20
Zotu3594	17	60	66
Zotu2269	40	53	31
Zotu4938	9	16	36
Zotu162	992	1509	1119
Zotu5239	27	12	9
Zotu219	6	2	1
Zotu305	466	453	442
Zotu1015	139	171	114
Zotu1366	31	96	94
Zotu931	88	131	160
Zotu186	864	667	632
Zotu1725	103	67	49
Zotu234	252	573	834
Zotu376	591	331	286
Zotu250	464	605	558
Zotu158	606	980	1403
Zotu1767	48	88	44
Zotu4213	82	19	9
Zotu559	145	277	273
Zotu180	1431	591	566
Zotu366	186	530	522
Zotu5371	11	25	24
Zotu2517	6	48	33
Zotu932	55	170	152
Zotu293	270	492	468
Zotu2522	24	53	38
Zotu372	616	306	277
Zotu229	400	624	613
Zotu606	241	217	170
Zotu141	818	1780	1844
