 ,Area,Mean,Min,Max,%Area,MinThr,MaxThr
1,1.331,192.805,0,255,75.610,0,255
2,5.485,0.000,0,0,0.000,0,255
3,6.946,50.047,0,255,19.626,0,255
4,1.688,107.885,0,255,42.308,0,255
5,8.926,82.527,0,255,32.364,0,255
6,7.076,30.413,0,255,11.927,0,255
7,0.584,0.000,0,0,0.000,0,255
8,6.394,76.371,0,255,29.949,0,255
9,8.991,31.300,0,255,12.274,0,255
10,12.593,80.838,0,255,31.701,0,255
11,13.015,78.853,0,255,30.923,0,255
12,6.913,59.859,0,255,23.474,0,255
13,5.420,111.467,0,255,43.713,0,255
14,10.484,58.421,0,255,22.910,0,255
15,6.232,71.719,0,255,28.125,0,255
16,5.777,74.494,0,255,29.213,0,255
17,12.561,99.496,0,255,39.018,0,255
18,6.784,50.024,0,255,19.617,0,255
19,6.621,76.250,0,255,29.902,0,255
20,7.303,82.733,0,255,32.444,0,255
21,4.804,20.676,0,255,8.108,0,255
22,1.915,250.678,0,255,98.305,0,255
23,6.784,98.828,0,255,38.756,0,255
24,9.185,145.071,0,255,56.890,0,255
25,12.691,82.826,0,255,32.481,0,255
26,6.686,107.694,0,255,42.233,0,255
27,7.563,41.588,0,255,16.309,0,255
28,11.685,48.875,0,255,19.167,0,255
29,8.634,82.444,0,255,32.331,0,255
30,5.291,132.975,0,255,52.147,0,255
31,9.120,95.285,0,255,37.367,0,255
32,8.731,50.242,0,255,19.703,0,255
33,6.978,84.209,0,255,33.023,0,255
34,7.465,56.543,0,255,22.174,0,255
35,12.107,105.282,0,255,41.287,0,255
36,6.946,115.584,0,255,45.327,0,255
37,2.434,0.000,0,0,0.000,0,255
38,9.153,105.798,0,255,41.489,0,255
39,7.108,5.822,0,255,2.283,0,255
40,10.192,50.350,0,255,19.745,0,255
41,13.794,124.200,0,255,48.706,0,255
42,7.790,90.312,0,255,35.417,0,255
43,10.549,106.708,0,255,41.846,0,255
44,6.037,53.468,0,255,20.968,0,255
45,6.362,0.000,0,0,0.000,0,255
46,1.461,0.000,0,0,0.000,0,255
47,8.763,57.611,0,255,22.593,0,255
48,4.804,56.858,0,255,22.297,0,255
49,4.122,74.291,0,255,29.134,0,255
50,3.538,86.560,0,255,33.945,0,255
51,8.634,68.064,0,255,26.692,0,255
52,7.303,113.333,0,255,44.444,0,255
53,9.250,59.947,0,255,23.509,0,255
54,6.816,58.286,0,255,22.857,0,255
55,6.199,85.445,0,255,33.508,0,255
56,9.510,139.249,0,255,54.608,0,255
57,10.678,52.705,0,255,20.669,0,255
58,12.042,39.178,0,255,15.364,0,255
59,1.331,49.756,0,255,19.512,0,255
60,7.822,64.544,0,255,25.311,0,255
61,13.372,81.080,0,255,31.796,0,255
62,5.485,179.556,0,255,70.414,0,255
63,7.205,160.811,0,255,63.063,0,255
64,12.691,168.261,0,255,65.985,0,255
65,6.946,110.818,0,255,43.458,0,255
66,7.790,160.438,0,255,62.917,0,255
67,5.648,80.603,0,255,31.609,0,255
68,7.433,0.000,0,0,0.000,0,255
69,7.725,135.000,0,255,52.941,0,255
70,7.920,96.148,0,255,37.705,0,255
71,14.963,49.230,0,255,19.306,0,255
72,3.635,0.000,0,0,0.000,0,255
73,11.847,132.740,0,255,52.055,0,255
74,1.363,0.000,0,0,0.000,0,255
75,7.660,137.225,0,255,53.814,0,255
76,13.340,70.730,0,255,27.737,0,255
77,4.479,83.152,0,255,32.609,0,255
78,5.550,79.035,0,255,30.994,0,255
